ts,side,outcome,R
2024-06-07 09:50:00-04:00,long,target,1.9941888844984035
2024-06-10 10:25:00-04:00,long,target,1.9850397941484625
2024-06-11 10:05:00-04:00,long,target,1.9883237588161078
2024-06-12 10:40:00-04:00,short,target,1.9822266458138604
2024-06-14 09:40:00-04:00,long,target,1.9826244092311207
2024-06-17 10:00:00-04:00,long,target,1.9935548738045954
2024-06-18 10:10:00-04:00,long,stop,-1.0977053207471523
2024-06-19 10:45:00-04:00,long,stop,-1.1348331920691266
2024-06-21 10:15:00-04:00,long,timeout,
2024-06-24 10:00:00-04:00,long,stop,-1.0241639280878168
2024-06-25 09:30:00-04:00,long,timeout,
2024-06-28 10:40:00-04:00,short,target,1.9951150885146915
2024-07-01 10:00:00-04:00,long,stop,-1.0471863456184867
2024-07-03 10:25:00-04:00,short,stop,-1.114356662084925
2024-07-04 09:30:00-04:00,short,stop,-1.060996863016349
2024-07-05 10:10:00-04:00,short,stop,-1.0373867714912528
2024-07-08 10:20:00-04:00,short,stop,-1.062549145755138
2024-07-09 10:40:00-04:00,long,target,1.9767073511621454
2024-07-10 10:20:00-04:00,short,target,1.9877041117456389
2024-07-12 10:20:00-04:00,short,target,1.982144132563236
2024-07-15 09:30:00-04:00,long,target,1.997274372560593
2024-07-16 10:00:00-04:00,short,timeout,
2024-07-18 09:45:00-04:00,short,target,1.9953104483212287
2024-07-22 10:00:00-04:00,short,target,1.9927283304248773
2024-07-23 11:00:00-04:00,long,target,1.989626125565806
2024-07-25 10:20:00-04:00,long,target,1.995884502683372
2024-07-26 10:35:00-04:00,short,stop,-1.0187205819424612
2024-07-29 10:10:00-04:00,short,target,1.9962593329643104
2024-07-30 09:45:00-04:00,short,target,1.9951965568920724
2024-07-31 10:45:00-04:00,short,target,1.9882684185833766
2024-08-01 10:05:00-04:00,short,target,1.9946618837145886
2024-08-02 09:40:00-04:00,long,stop,-1.014163503484107
2024-08-05 09:50:00-04:00,long,timeout,
2024-08-07 10:20:00-04:00,short,target,1.9962568126011222
2024-08-09 10:35:00-04:00,short,stop,-1.0196830467104594
2024-08-12 10:10:00-04:00,long,timeout,
2024-08-14 10:45:00-04:00,long,target,1.9958177894508622
2024-08-15 10:55:00-04:00,short,stop,-1.1092179991194544
2024-08-20 10:50:00-04:00,long,timeout,
2024-08-21 10:30:00-04:00,short,target,1.984064252933192
2024-08-23 10:35:00-04:00,short,target,1.994936913947892
2024-08-26 10:55:00-04:00,long,target,1.991224375175821
2024-08-27 09:55:00-04:00,long,target,1.99265634638567
2024-08-28 10:25:00-04:00,long,stop,-1.048386650812943
2024-08-29 10:20:00-04:00,short,stop,-1.033221329991586
2024-09-02 10:00:00-04:00,short,target,1.9828107810792923
2024-09-04 09:45:00-04:00,long,stop,-1.030172413792583
2024-09-05 10:15:00-04:00,short,stop,-1.0806043019630331
2024-09-09 10:20:00-04:00,short,target,1.9942894995318698
2024-09-12 10:40:00-04:00,short,target,1.991045524553493
2024-09-13 10:40:00-04:00,long,timeout,
2024-09-16 09:50:00-04:00,long,stop,-1.03655963398507
2024-09-17 09:50:00-04:00,short,stop,-1.0523622871831393
2024-09-18 10:30:00-04:00,long,target,1.9834426120946114
2024-09-19 09:50:00-04:00,short,stop,-1.0386595091338355
